VELOCIDADE_REAL	PERCENTUAL_ACIONAMENTO	RPM	TEMPERATURA
50	32	1002	11.14
50	32	1002	11.11
50	32	1017	10.90
50	32	1017	10.91
50	32	1018	11.07
50	32	1018	10.87
50	32	1002	10.88
50	32	1002	10.92
50	32	1018	11.23
50	32	1018	10.82
50	32	1017	10.99
50	32	1017	10.63
50	32	1017	10.79
50	32	1017	10.70
50	32	1002	10.57
50	32	1002	10.62
50	32	1017	10.82
50	32	1017	10.60
50	32	1018	10.58
50	32	1018	10.50
50	32	1002	10.30
50	32	1002	10.45
50	32	1018	10.59
50	32	1018	10.51
50	32	1017	10.37
50	32	1017	10.54
50	32	1018	10.24
50	32	1018	10.28
50	32	1002	10.50
50	32	1002	10.47
50	32	1017	10.17
50	32	1017	10.31
50	32	1003	10.14
50	32	1003	10.34
50	32	1017	10.34
50	32	1017	10.21
50	32	1017	10.27
50	32	1017	10.19
50	32	1017	10.17
50	32	1017	10.09
50	32	1002	10.28
50	32	1002	10.29
50	32	1018	10.05
50	32	1018	10.16
50	32	1017	10.06
50	32	1017	10.01
50	32	1018	9.88
50	32	1018	9.84
50	32	1002	9.99
50	32	1002	9.89
50	32	1018	9.76
50	32	1018	9.73
50	32	1017	9.65
50	32	1017	9.62
50	32	1017	9.76
50	32	1017	9.88
50	32	1018	9.71
50	32	1018	9.79
50	32	1002	9.80
50	32	1002	9.55
50	32	1017	9.67
50	32	1017	9.94
50	32	1017	9.45
50	32	1017	9.66
50	32	1017	9.74
50	32	1017	9.50
50	32	1002	9.71
50	32	1002	9.61
50	32	1017	9.64
50	32	1017	9.69
50	32	1018	9.55
50	32	1018	9.46
50	32	1017	9.42
50	32	1017	9.27
50	32	1003	9.54
50	32	1003	9.42
50	32	1017	9.65
50	32	1017	9.42
50	32	1017	9.10
50	32	1017	9.58
50	32	1018	9.58
50	32	1018	9.28
50	32	1002	9.33
50	32	1002	9.23
50	32	1017	9.29
50	32	1017	9.56
50	32	1017	9.38
50	32	1017	9.58
50	32	1017	9.26
50	32	1017	9.48
50	32	1018	9.22
50	32	1018	9.19
50	32	1002	9.53
50	32	1002	9.28
50	32	1018	9.33
50	32	1018	9.35
50	32	1017	9.28
50	32	1017	9.02
50	32	1017	9.35
50	32	1017	9.39
50	32	1017	9.32
50	32	1017	9.18
50	32	1002	9.28
50	32	1002	9.37
50	32	1017	9.32
50	32	1017	9.27
50	32	1017	9.43
50	32	1017	9.21
50	32	1018	9.22
50	32	1018	9.19
50	32	1017	9.21
50	32	1017	9.26
50	32	1017	9.23
50	32	1017	9.21
50	32	1002	8.99
50	32	1002	9.01
50	32	1017	9.20
50	32	1017	9.02
50	32	1018	9.11
50	32	1018	9.41
50	32	1017	8.92
50	32	1017	8.99
50	32	1018	8.87
50	32	1018	9.13
50	32	1017	9.11
50	32	1017	9.15
50	32	1002	9.06
50	32	1002	9.21
50	32	1018	9.11
50	32	1018	9.09
50	32	1017	9.12
50	32	1017	9.05
50	32	1002	8.96
50	32	1002	9.03
50	32	1017	9.08
50	32	1017	9.08
50	32	1017	8.93
50	32	1017	9.17
50	32	1017	8.78
50	32	1017	8.88
50	32	1017	9.04
50	32	1017	8.92
50	32	1018	9.04
50	32	1018	8.91
50	32	1002	8.84
50	32	1002	8.96
50	32	1018	9.04
50	32	1018	8.75
50	32	1017	9.00
50	32	1017	8.99
50	32	1017	9.25
50	32	1017	9.00
50	32	1018	8.90
50	32	1018	8.80
50	32	1017	9.05
50	32	1017	9.05
50	32	1017	8.86
50	32	1017	8.90
50	32	1002	9.08
50	32	1002	8.67
50	32	1017	9.06
50	32	1017	8.82
50	32	1017	8.88
50	32	1017	9.16
50	32	1017	9.06
50	32	1017	9.07
50	32	1003	8.87
50	32	1003	8.78
50	32	1017	9.03
50	32	1017	8.86
50	32	1018	8.89
50	32	1018	8.83
50	32	1017	8.75
50	32	1017	8.66
50	32	1017	8.87
50	32	1017	8.83
50	32	1018	8.90
50	32	1018	8.88
50	32	1002	8.97
50	32	1002	9.06
50	32	1018	8.99
50	32	1018	8.80
50	32	1017	8.67
50	32	1017	8.90
50	32	1017	8.94
50	32	1017	8.72
50	32	1018	9.21
50	32	1018	8.99
50	32	1017	8.91
50	32	1017	8.97
50	32	1017	8.70
50	32	1017	8.73
50	32	1017	8.64
50	32	1017	8.73
50	32	1002	8.75
50	32	1002	8.67
50	32	1018	8.67
50	32	1018	8.73
50	32	1017	8.86
50	32	1017	8.77
50	32	1018	8.68
50	32	1018	8.62
50	32	1017	8.52
50	32	1017	8.81
50	32	1018	8.66
50	32	1018	8.61
50	32	1017	8.81
50	32	1017	8.74
50	32	1017	8.93
50	32	1017	8.68
50	32	1003	8.76
50	32	1003	8.52
50	32	1017	8.48
50	32	1017	9.07
50	32	1017	8.60
50	32	1017	8.82
50	32	1017	8.42
50	32	1017	8.72
50	32	1017	8.34
50	32	1017	8.57
50	32	1002	9.01
50	32	1002	8.51
50	32	1017	8.44
50	32	1017	8.53
50	32	1018	8.68
50	32	1018	8.62
50	32	1017	8.64
50	32	1017	8.53
50	32	1017	8.57
50	32	1017	8.66
50	32	1017	8.51
50	32	1017	8.70
50	32	1017	8.44
50	32	1017	8.49
50	32	1003	8.33
50	32	1003	8.71
50	32	1017	8.81
50	32	1017	8.62
50	32	1018	8.23
50	32	1018	8.51
50	32	1017	8.53
50	32	1017	8.72
50	32	1018	8.61
50	32	1018	8.52
50	32	1017	8.40
50	32	1017	8.31
50	32	1002	8.29
50	32	1002	8.40
50	32	1018	8.49
50	32	1018	8.55
50	32	1017	8.82
50	32	1017	8.34
50	32	1018	8.44
50	32	1018	8.49
50	32	1002	8.57
50	32	1002	8.72
50	32	1017	8.51
50	32	1017	8.55
50	32	1018	8.77
50	32	1018	8.85
50	32	1002	8.66
50	32	1002	8.73
50	32	1018	8.57
50	32	1018	8.57
50	32	1017	8.37
50	32	1017	8.80
50	32	1017	8.79
50	32	1017	8.60
50	32	1017	8.56
50	32	1017	8.79
50	32	1002	8.59
50	32	1002	9.03
50	32	1018	8.37
50	32	1018	8.58
50	32	1017	8.42
50	32	1017	8.49
50	32	1018	8.57
50	32	1018	8.53
50	32	1017	8.37
50	32	1017	8.73
50	32	1017	8.33
50	32	1017	8.47
50	32	1018	8.40
50	32	1018	8.35
50	32	1017	8.18
50	32	1017	8.55
50	32	1003	8.48
50	32	1003	8.71
50	32	1017	8.31
50	32	1017	8.73
50	32	1018	8.38
50	32	1018	8.43
50	32	1017	8.42
50	32	1017	8.49
50	32	1017	8.61
50	32	1017	8.15
50	32	1018	8.35
50	32	1018	8.77
50	32	1017	8.46
50	32	1017	8.48
50	32	1018	8.62
50	32	1018	8.34
50	32	1017	8.49
50	32	1017	8.56
50	32	1017	8.33
50	32	1017	8.45
50	32	1018	8.46
50	32	1018	8.58
50	32	1002	8.48
50	32	1002	8.56
50	32	1018	8.66
50	32	1018	8.30
50	32	1017	8.34
50	32	1017	8.44
50	32	1018	8.15
50	32	1018	8.54
50	32	1017	8.57
50	32	1017	8.17
50	32	1003	8.04
